subject,id,tp,group
Kuopio_9d_1097,1097,9d,TBI
Kuopio_9d_1099,1099,9d,TBI
Kuopio_9d_1103,1103,9d,TBI
Kuopio_9d_1104,1104,9d,TBI
Kuopio_9d_1107,1107,9d,Sham
Kuopio_9d_1138,1138,9d,TBI
Kuopio_9d_1139,1139,9d,TBI
Kuopio_9d_1140,1140,9d,TBI
Kuopio_9d_1143,1143,9d,Sham
Kuopio_9d_1144,1144,9d,TBI
Kuopio_9d_1145,1145,9d,TBI
Kuopio_9d_1146,1146,9d,Sham
Kuopio_9d_1149,1149,9d,TBI
Kuopio_9d_1152,1152,9d,TBI
Kuopio_9d_1153,1153,9d,TBI
Kuopio_9d_1154,1154,9d,TBI
Kuopio_9d_1155,1155,9d,Sham
Kuopio_9d_1156,1156,9d,TBI
Kuopio_9d_1159,1159,9d,TBI
Kuopio_9d_1161,1161,9d,Sham
