name,index
right_ventral_pallidum,2167
left_globus_pallidus,1058
right_globus_pallidus,2058
left_anterior_olfactory_nucleus,1020
right_anterior_olfactory_nucleus,2020
left_trapezoid_body,1154
right_trapezoid_body,2154
left_White_Matter,1173
right_White_Matter,2173
left_entorhinal_ctx,1052
right_entorhinal_ctx,2052
left_crus_2_of_ansiform_lobule,1038
right_crus_2_of_ansiform_lobule,2038
left_CA1_dorsal,1025
right_CA1_dorsal,2025
left_crus_1_of_ansiform_lobule,1037
right_crus_1_of_ansiform_lobule,2037
left_precuniform_nucleus,1113
right_precuniform_nucleus,2113
left_ventral_posteriolmedial_thalamic_nucleus,1169
right_ventral_posteriolmedial_thalamic_nucleus,2169
left_lateral_septal_nucleus,1078
right_lateral_septal_nucleus,2078
left_interposed_nucleus,1065
right_interposed_nucleus,2065
left_Lat,1069
right_Lat,2069
left_lateral_preoptic_area,1077
right_lateral_preoptic_area,2077
left_10th_cerebellar_lobule,1001
right_10th_cerebellar_lobule,2001
left_zona_incerta,1174
right_zona_incerta,2174
left_supramammillary_nucleus,1149
right_supramammillary_nucleus,2149
left_dorsal_medial_striatum,1044
right_dorsal_medial_striatum,2044
left_median_raphe_nucleus,1087
right_median_raphe_nucleus,2087
left_frontal_association_ctx,1055
right_frontal_association_ctx,2055
left_perirhinal_ctx,1114
right_perirhinal_ctx,2114
left_anterior_amygdaloid_nucleus,1015
right_anterior_amygdaloid_nucleus,2015
left_simple_lobule_cerebellum,1140
right_simple_lobule_cerebellum,2140
left_CA2,1027
right_CA2,2027
left_lateral_posterior_thalamic_nucleus,1076
right_lateral_posterior_thalamic_nucleus,2076
left_anterior_lobe_pituitary,1019
right_anterior_lobe_pituitary,2019
left_raphe_linear,1121
right_raphe_linear,2121
left_primary_somatosensory_ctx_barrel_field,1130
right_primary_somatosensory_ctx_barrel_field,2130
left_medial_orbital_ctx,1088
right_medial_orbital_ctx,2088
left_parietal_ctx,1116
right_parietal_ctx,2116
left_dorsomedial_tegmental_area,1045
right_dorsomedial_tegmental_area,2045
left_olivary_nucleus,1093
right_olivary_nucleus,2093
left_primary_motor_ctx,1079
right_primary_motor_ctx,2079
left_primary_somatosensory_ctx_shoulder,1134
right_primary_somatosensory_ctx_shoulder,2134
left_claustrum,1033
right_claustrum,2033
left_primary_somatosensory_ctx_trunk,1135
right_primary_somatosensory_ctx_trunk,2135
left_visual_2_ctx,1157
right_visual_2_ctx,2157
left_premammillary_nucleus,1104
right_premammillary_nucleus,2104
left_retrochiasmatic_nucleus,1119
right_retrochiasmatic_nucleus,2119
left_accumbens_core,1016
right_accumbens_core,2016
left_central_amygdaloid_nucleus,1030
right_central_amygdaloid_nucleus,2030
left_DPGi,1046
right_DPGi,2046
left_locus_ceruleus,1070
right_locus_ceruleus,2070
left_pineal_gland,1101
right_pineal_gland,2101
left_PCRt,1097
right_PCRt,2097
left_substantia_innominata,1139
right_substantia_innominata,2139
left_3rd_cerebellar_lobule,1004
right_3rd_cerebellar_lobule,2004
left_posterior_hypothalamic_area,1100
right_posterior_hypothalamic_area,2100
left_medial_septum,1091
right_medial_septum,2091
left_dorsal_lateral_striatum,1042
right_dorsal_lateral_striatum,2042
left_lemniscal_nucleus,1074
right_lemniscal_nucleus,2074
left_granular_cell_layer,1059
right_granular_cell_layer,2059
left_infralimbic_ctx,1063
right_infralimbic_ctx,2063
