subject,id,tp,id_tp
gds180720_3024.Os1,3024,5mo,3024_5mo
gds180720_3026.Os1,3026,5mo,3026_5mo
gds180720_3027.Os1,3027,5mo,3027_5mo
gds180720_3028.Ot1,3028,5mo,3028_5mo
gds180720_3029.Ot1,3029,5mo,3029_5mo
gds180721_3030.Ot1,3030,5mo,3030_5mo
gds180721_3032.Ot1,3032,5mo,3032_5mo
gds180721_3034.Ot1,3034,5mo,3034_5mo
gds180721_3037.Ot1,3037,5mo,3037_5mo
gds180721_3038.Ot1,3038,5mo,3038_5mo
gds180903_3072.Pb1,3072,5mo,3072_5mo
gds180903_3073.Pb1,3073,5mo,3073_5mo
gds180903_3074.Pb1,3074,5mo,3074_5mo
gds180903_3075.Pb1,3075,5mo,3075_5mo
gds180920_3116.Ps1,3116,9d,3116_9d
gds180920_3118.Ps1,3118,9d,3118_9d
gds180920_3119.Ps1,3119,9d,3119_9d
gds180920_3120.Ps1,3120,9d,3120_9d
gds180921_3106.Pt1,3106,9d,3106_9d
gds180921_3107.Pt1,3107,9d,3107_9d
gds180921_3124.Pt1,3124,9d,3124_9d
gds180921_3126.Pt1,3126,9d,3126_9d
gds180921_3127.Pu1,3127,9d,3127_9d
gds180921_3128.Pu1,3128,9d,3128_9d
gds180131_3001.LI1,3001,9d,3001_9d
gds180131_3003.LI1,3003,9d,3003_9d
gds180131_3004.LI1,3004,9d,3004_9d
gds180131_3006.LI1,3006,9d,3006_9d
gds180131_3007.LJ1,3007,9d,3007_9d
gds180131_3008.LJ1,3008,9d,3008_9d
gds180223_045.M51,045,9d,045_9d
gds180223_3016.M51,3016,9d,3016_9d
gds180307_3022.Mh1,3022,9d,3022_9d
gds180307_3024.Mh1,3024,9d,3024_9d
gds180307_3026.Mh1,3026,9d,3026_9d
gds180307_3027.Mh1,3027,9d,3027_9d
gds180307_3028.Mi1,3028,9d,3028_9d
gds180307_3029.Mi1,3029,9d,3029_9d
gds180309_3030.Mj1,3030,9d,3030_9d
gds180309_3032.Mj1,3032,9d,3032_9d
gds180309_3034.Mj1,3034,9d,3034_9d
gds180309_3037.Mj1,3037,9d,3037_9d
gds180309_3038.Mk1,3038,9d,3038_9d
gds180327_3043.MC1,3043,9d,3043_9d
gds180424_3072.N31,3072,9d,3072_9d
gds180424_3073.N31,3073,9d,3073_9d
gds180424_3074.N31,3074,9d,3074_9d
gds180424_3075.N31,3075,9d,3075_9d
